,video_id,duration,num_frames,fps,resolution_width,resolution_height
0,77cc4654-4eec-44c6-af05-dbdf71f9a401,1247.13,37414,30.0,1920.0,1080.0
1,3e08beb0-9108-4e77-b2ae-80f91ceac474,603.83,18115,30.0,1920.0,1080.0
2,6e389032-9216-4da0-8548-2f5087882589,1759.43,52783,30.0,2560.0,1920.0
3,8a3c4a95-0492-41cf-802d-4198ab843582,1063.13,31894,30.0,2560.0,1920.0
4,c3f5972e-9919-496c-a01a-75ffa5c7bcff,238.13,7144,30.0,1440.0,1080.0
5,a437e059-78be-4894-a7ab-dc27fa16d3f8,9879.3,296379,30.0,1920.0,1080.0
6,ab9b7b7c-33ad-4358-929f-8b36b719f45f,146.03,4381,30.0,1440.0,1080.0
7,20bd786f-d222-4b0e-ad2c-a2381929cf78,2695.8,80874,30.0,1440.0,1080.0
8,0b637191-00b7-4fd8-af37-d26d80dc59ce,1364.62,40924,30.0,1920.0,1080.0
9,9b49246f-30e9-476f-ab8c-56a1bcb1d936,3553.03,106591,30.0,1440.0,1080.0
10,c5851c24-4ae3-4430-b867-f43800f0f56e,4226.83,126805,30.0,1440.0,1080.0
11,9930414f-b998-4217-b6b5-aa686236fdf8,3739.07,112172,30.0,1440.0,1080.0
12,f7148e30-2ded-4d14-a8bb-f50813da26df,1507.7,45231,30.0,1920.0,1080.0
13,a6fb31a3-eca4-4e8f-a23b-16e4f2a9269b,4497.53,134926,30.0,1440.0,1080.0
14,c26cda75-ed47-4f46-9076-25cf75bf9f1d,25417.6,762528,30.0,1440.0,1080.0
15,5d7a27ce-1d80-453e-849b-1148c2b95263,1682.83,50485,30.0,1440.0,1080.0
16,1c36b36d-8390-435c-bbf9-054e11534df8,708.03,21240,30.0,1920.0,1440.0
17,f96e13c5-f876-4264-882e-9e4f2611c76d,2845.87,85366,30.0,1920.0,1080.0
18,99723c6d-b508-4484-bfc0-336742d1450d,1252.5,37575,30.0,1440.0,1080.0
19,908f71c3-f1eb-4ef5-b530-4060cfaa60c0,1079.6,32388,30.0,1920.0,1440.0
20,2cddb76f-24d1-4863-bd91-9a5d1922a543,1884.4,56532,30.0,1920.0,1080.0
